3 DConstruction Kit|3D Construction Kit
3 DPool|3D Pool
3 DGalax|3D Galax
3001 OConnors Fight|3001 O'Connor's Fight
3 DWorld Boxing|3D World Boxing 
3 DWorld Soccer|3D World Soccer 
3 DWorld Tennis|3D World Tennis 
4 DSports Boxing|4D Sports Boxing
4 DSports Driving|4D Sports Driving
4 DSports Driving & Mstr Trcks|4D Sports Driving (& Master Tracks)
A BCMonday Night Football|ABC Monday Night Football 
Aot GSA FP 27b 6|Attack of the Green Smelly Aliens from Planet 27b-6
Raiders 01|Raiders-01
A V 8 BHarrier Assault|AV8B Harrier Assault
& Mstr Trcks|(Master Tracks)
Abandoned Places|Abandoned Places - A Time for Heroes
3DAGA|3D AGA
Advanced Destroyer Sim|ADS - Advanced Destroyer Simulator
4x 4 Off Road Racing|4X4 Off-Road Racing
A 10 Tank Killer (3 Disk)|A-10 Tank Killer (3 Disk)
A 10 Tank Killer (2 Disk)|A-10 Tank Killer (2 Disk)
A PBImage|APB (Image)
A Train|A-Train
A Train & Construction Set|A-Train (& Construction Set)
A TF 2|ATF II - Advanced Tactical Fighter II
AGAFixed|AGA (Fixed)
AGE|A.G.E. (Advanced Galactic Empire)
Alien Breed Story|Alien Breed (Story)
Allan Borders Cricket|Allan Border's Cricket
Alpha 1|Alpha-1
All Terrain Racing|ATR - All Terrain Racing
Apidya Audios|Apidya (Audios)
Apidya Kaiko|Apidya (Kaiko)
Blasta Ball Arcadia|BlastaBall (Arcadia)
Classic & Baby Arcadia|Classic & Baby (Arcadia)
Delta Command Arcadia|Delta Command (Arcadia)
Fast Break Arcadia|Fast Break (Arcadia)
Pharaoh's Match Arcadia|Pharaoh's Match (Arcadia)
Space Ranger Arcadia|Space Ranger (Arcadia)
Table Hockey Arcadia|Table Hockey (Arcadia)
Ten Pin Bowling Arcadia|Ten Pin Bowling (Arcadia)
World Trophy Soccer Arcadia|World Trophy Soccer (Arcadia)
Aquanaut F 1 Licenceware|Aquanaut (F1 Licenceware)
Archer Macleans Billard Amcn|Archer Macleans's Le Billard Americain
Archer Macleans|Archer Maclean's
ArkanoidReve|Arkanoid - Reve
Armour Geddon|Armour-Geddon
Armour Geddon 2|Armour-Geddon 2
Asterix Op Getafix|Asterix - Operation Getafix
Alien Breed 2|Alien Breed II - The Horror Continues
A TF2|Advanced Tactical Fighter II
ATF2|Advanced Tactical Fighter II
APBImage|APB (Image)
Atomic Robo Kid|Atomic Robo-Kid
Axels Magic Hammer|Axel's Magic Hammer
Arena|Arena (Psygnosis)
Beneath A Stl Sky|Beneath a Steel Sky
Alien Breed Special Edition|Alien Breed Special Edition '92
Alien Breed TA|Alien Breed Tower Assault
After Burner Activision|After Burner (Activision)
After Burner Sega|After Burner (Sega)
Destroyer Sim|Destroyer Simulator
Bubble & Squeak|Bubble and Squeak
Bubble & Squeak [AGA]|Bubble and Squeak [AGA]
B 17 Flying Fortress|B-17 Flying Fortress
B AT|BAT
BA T|B.A.T.
BA T 2|B.A.T. II
Bad Dudes Vs Dragon Ninja|Bad Dudes vs. DragonNinja
Baby Jo In Going Home|Baby Jo - Going Home
Balance Of Power|Balance of Power - Geopolitics in the Nuclear Age
Balance Of Power 1990 Ed|Balance of Power - The 1990 Edition
Barbarian Palace|Barbarian - The Ultimate Warrior
Barbarian Psygnosis|Barbarian (Psygnosis)
Barbarian 2 Palace|Barbarian II - The Dungeon of Drax
Barbarian 2 Psygnosis|Barbarian 2 (Psygnosis)
Bards Tale|Bard's Tale - Tales of the Unknown
Bart Vs Sp Mutants|Bart Vs The Space Mutants
Batman Caped Crusader|Batman - The Caped Crusader
Batman The Movie|Batman - The Movie
Battle Isle & Data Disks|Battle Isle (& Data Disks)
BCKid|BC Kid
Bloodwych & Extended Levels|Bloodwych (& Extended Levels)
Blinkys Scary School|Blinky's Scary School
Black Goldre LINE|Black Gold (reLINE)
Bills Tomato Game|Bill's Tomato Game
Bloodwych & Extended Levels|Bloodwych (& Extended Levels)
BMXSimulator|BMX Simulator
Bobs Bad Day|Bob's Bad Day
Bobs Garden|Bob's Garden
Boulder Dash Constr Kit|BoulderDash Construction Kit
Brian Laras Cricket|Brian Lara's Cricket
Brian Laras Cricket 96|Brian Lara's Cricket '96
BSSJane Seymour|BSS Jane Seymour
Bubba NStix|Bubba'N'Stix
Bubble +|Bubble +
Buffalo Bills Wild West Show|Buffalo Bill's Wild West Show
Buck Rogers Countdown Dday|Buck Rogers - Countdown To Doomsday
Bundesliga Manager Hatt|Bundesliga Manager Hattrick
Bump NBurn|Bump 'N' Burn
Cabaret Asteroids Repacked|Cabaret Asteroids
Cadaver & Cadaver The Payoff|Cadaver (& The Pay Off)
Cadaver The Payoff|Cadaver - The Pay Off
 & Data Disk| (& Data Disk)
Cannon Fodder 2 Alien Levels|Cannon Fodder 2 (Alien Levels)
Cannon Fodder New Campaign|Cannon Fodder (New Campaign)
Campaign & Data Disk|Campaign (& Data Disk)
Cap NCarnage|Cap 'n' Carnage
Car Vup|CarVup
Cardiaxx Electronic Zoo|Cardiaxx (Electronic Zoo)
Cardiaxx Team 17|Cardiaxx (Team 17)
Carrier Command No Music|Carrier Command (No Music)
Castle Vania|Castlevania
Chamber Sci Mutant Priestess|Chamber Of The Sci-Mutant Priestess
Chaos Strikes Back & En Util|Chaos Strikes Back (& Utility Disk)
Chaos Strikes Back & De Util|Chaos Strikes Back (& Utility Disk) (Deutsch)
Chaos Strikes Back & Fr Util|Chaos Strikes Back (& Utility Disk) (Francais)
Charlie JCool|Charlie J. Cool
Chrono Quest 2|Chrono Quest II
Chase HQ|Chase H.Q.
